Name,Description,Comedy,Crime,Drama,Romance,Action and Adventure,Documentary and History,Family and Animation,Fantasy and Sci-Fi,Horror and Thriller,Combined
Tiga Abdul,"After the death of their father, the youngest of a family of three brothers falls out with his older brothers but has to then rescue them when the family fortune is conned from them and their family business is threatened. Along t...",1,0,0,0,0,0,0,0,0,death father youngest family brothers fall older brothers rescue family fortune con family business threaten along nan
Hot Enough for June,"Czech-speaking, out-of-work Briton Nicholas Whistler (Dirk Bogarde) is unwittingly sent on a secret mission to Prague by British Intelligence.",1,0,0,0,0,0,0,0,0,czech speak work briton nicholas whistler dirk bogarde unwittingly send secret mission prague british intelligence washroom attendant briton international relations trip guidebook
Love Finds Andy Hardy,Andy has problems raising the last payment for a used car and juggling three pretty girls with an upcoming country club dance scheduled.,1,0,0,1,0,0,0,0,0,andy problems raise last payment use car juggle pretty girls upcoming country club dance schedule christmas national film registry drugstore teenage romance ice cream soda
Samson & Delilah,"A glue-sniffing boy and his girlfriend escape the government-controlled no-hope Aboriginal community they live in and go to the city, Alice Springs, looking for a better life.",0,0,1,1,0,0,0,0,0,glue sniff boy girlfriend escape government control hope aboriginal community live go city alice spring look better life boredom aboriginal art australian aborigine poverty paint
The Wolf Man,The youngest son of a noble English family turns into a wolf man whenever he partakes in alcohol.,0,0,1,0,0,0,0,0,0,youngest son noble english family turn wolf man whenever partake alcohol canada london england melodrama
Lawrence of Arabia,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",0,0,1,0,1,1,0,0,0,story e lawrence english officer successfully unite lead diverse often war arab tribes world war order fight turks desert arabia ottoman empire arab bedouin
Bob le flambeur,"After losing big, an aging gambler decides to assemble a team to rob a casino.",0,1,1,0,0,0,0,0,1,lose big age gambler decide assemble team rob casino casino gambler last job police deauville
Dark Passage,A part time drivers last ride of the night maybe the last ride of his life.,0,0,0,0,0,0,0,0,1,part time drivers last ride night maybe last ride life title direct female
99 River Street,A former boxer turned cab driver has to hide from the police when his badgering wife is murdered by the jewel thief she was having an affair with.,0,1,1,0,1,0,0,0,0,former boxer turn cab driver hide police badger wife murder jewel thief affair boxer murder box match championship box match slow motion replay
The Alamo,"In 1836, a small band of soldiers sacrifice their lives in hopeless combat against a massive army in order to prevent a tyrant from smashing the new Republic of Texas.",0,0,1,0,1,1,0,0,0,small band soldier sacrifice live hopeless combat massive army order prevent tyrant smash new republic texas cannon battle battle alamo texas revolution year
You&apos;re a Big Boy Now,"Post-teen virgin moves to New York City, falls for a cold-hearted beauty, then finds true love with a loyal lass.",1,0,1,1,0,0,0,0,0,post teen virgin move new york city fall cold hearted beauty find true love loyal lass sex comedy write director milk father son relationship mother son relationship
The Lone Rider in Frontier Fury,A cowboy is falsely accused of the murder of a local rancher.,0,0,0,0,1,0,0,0,0,cowboy falsely accuse murder local rancher nan
The Rose Tattoo,"Thirty years after the mysterious death of their best friend, three Aboriginal men are brought back together by the same secret that tore them apart and changed their lives forever.",0,0,1,0,0,0,0,0,0,thirty years mysterious death best friend aboriginal men bring back together secret tear apart change live forever nan
Mantan Messes Up,Mantan takes a job as office boy at a new TV station and gets to watch several pre-recorded musical numbers.,1,0,0,0,0,0,0,0,0,mantan take job office boy new tv station get watch several pre record musical number instrumental music african american television song dance
Chhota Bheem and Sky Dragon,"The kids in Dholakpur are enjoying cool lemonades in the summer heat as an elder tells them the story of the Sky Dragon. The Sky Dragon had the ability to create wonderful things like the wind and the clouds etc. Further, the drag...",0,0,0,0,0,0,1,0,0,kid dholakpur enjoy cool lemonades summer heat elder tell story sky dragon sky dragon ability create wonderful things like wind cloud etc drag nan
Santa Fe Uprising,"The Duchess, the aunt of Red Ryder, comes to town to protect her property. Crawford, a town big-shot behind an outlaw gang, tries to prevent her from reaching her destination, but the attack is thwarted by Red. The latter is made ...",0,0,1,0,1,0,0,0,0,duchess aunt red ryder come town protect property crawford town big shoot behind outlaw gang try prevent reach destination attack thwart red latter make sequel seventeenth part base comic strip red ryder character little beaver character
Misbehaving Ladies,"Ellen, a young American girl who married a European prince and moved to his country, is preparing to return to the US, after having paid off all the debts left by her now-deceased husband. However, when she returns early, no one r...",1,0,1,1,0,0,0,0,0,ellen young american girl marry european prince move country prepare return us pay debts leave decease husband return early r city princess street life child uncle niece relationship
Gidget,A young girl discovers surfing and love (in that order) during one transitive summer.,1,0,1,1,0,0,0,0,0,young girl discover surf love order transitive summer surf tomboy nickname title beach teenage girl
Circus Girl,"A lonely teenager stumbles upon an invitingly decorated lollipop left on a path and after she tastes the lollipop, she is drawn into an uncomfortable surreal encounter with a mysterious Circus girl.",0,0,0,0,0,0,0,1,0,lonely teenager stumble upon invitingly decorate lollipop leave path taste lollipop draw uncomfortable surreal encounter mysterious circus girl teenager
If a Man Answers,"Rich socialite Chantal marries Eugene, a photographer, and everything seems blissful until her envious friend attempts to break them up. In desperation, she turns to her mother, but the advice she receives may do more harm than good.",1,0,0,1,0,0,0,0,0,rich socialite chantal marry eugene photographer everything seem blissful envious friend attempt break desperation turn mother advice receive harm good blonde woman photographer marriage book dog
The Year Between,Clemence returns home after dropping out of college with a newly diagnosed mental illness.,0,0,1,0,0,0,0,0,0,clemence return home drop college newly diagnose mental illness psychological drama
Penny Gold,"While investigating a murder case, a detective stumbles upon a rare-stamp swindle involving the victim&apos;s twin sister.",0,1,1,0,0,0,0,0,1,investigate murder case detective stumble upon rare stamp swindle involve victim twin sister rare stamp twin sisters twin sister police detective police
Sudesi,"An idealist named Hindustani comes across evidence against the State&apos;s Chief Minister R.C. Narayan. He abducts his aide, a politician named Raghavchari, then fakes his death by a motor vehicle accident. After convincing everyone a...",0,1,1,0,1,0,0,0,0,idealist name hindustani come evidence state chief minister r c narayan abduct aide politician name raghavchari fake death motor vehicle accident convince everyone nan
Blazing Saddles,Our trio of Americanadians is lured into spin class by the prospect of meeting beautiful women... only to meet with trouble instead.,1,0,0,0,0,0,0,0,0,trio americanadians lure spin class prospect meet beautiful women meet trouble instead nan
Young Frankenstein: It&apos;s Alive! Creating a Monster Classic,"Director, Mel Brooks, actresses, Cloris Leachman, Teri Garr, and others celebrate the movie, Young Frankenstein.",0,0,0,0,0,1,0,0,0,director mel brook actresses cloris leachman teri garr others celebrate movie young frankenstein nan
The Godfather Part II,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",0,1,1,0,0,0,0,0,0,early life career vito corleone new york city portray son michael expand tighten grip family crime syndicate revenge corrupt politician cuban revolution lake tahoe nevada
Airport 1975,"A 747 in flight collides with a small plane, and is rendered pilotless. Somehow the control tower must get a pilot aboard so the jet can land.",0,0,1,0,1,0,0,0,1,flight collide small plane render pilotless somehow control tower must get pilot aboard jet land hare krishna repeat sequel fire truck kiss engineer
Chinatown,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",0,0,1,0,0,0,0,0,1,private detective hire expose adulterer los angeles find catch web deceit corruption murder neo noir private detective femme fatale detective police
Seven Brides for Seven Brothers,"In 1850 Oregon, when a backwoodsman brings a wife home to his farm, his six brothers decide that they want to get married too.",1,0,1,0,0,0,0,0,0,oregon backwoodsman bring wife home farm brothers decide want get marry farm barn cook marriage oregon
Malibu Hot Summer,"A fabulous Malibu beach house is the setting for sin in sun, as a trio of lovely ladies find love in Los Angeles over one sizzling summer.",1,0,0,1,0,0,0,0,0,fabulous malibu beach house set sin sun trio lovely ladies find love los angeles sizzle summer voyeurism female full frontal nudity sex scene female pubic hair female frontal nudity
Urutora 6-kyodai tai kaijû gundan,The Hindu god Hanuman teams up with Ultraman and his brethren against familiar Ultra-foes in this rare Ultraman movie co-produced in Thailand.,0,0,0,0,1,0,0,1,0,hindu god hanuman team ultraman brethren familiar ultra foes rare ultraman movie co produce thailand kaiju superhero tokusatsu superhero action superhero sci fi
11 Harrowhouse,Independent diamond broker and his girlfriend attempt a heist at a major Diamond Exchange house in London.,1,1,0,0,0,0,0,0,1,independent diamond broker girlfriend attempt heist major diamond exchange house london rough diamond creme de menthe champagne city kill explosion
Alien Thunder,"Based on an actual event, this is the tragic story of Saskatchewan fugitive Almighty Voice (Gordon Tootoosis), a Cree Indian who isarrested for stealing government livestock out of desperate hunger.",0,0,0,0,1,0,0,0,0,base actual event tragic story saskatchewan fugitive almighty voice gordon tootoosis cree indian isarrested steal government livestock desperate hunger spaghetti western murder police officer escape prison native canadian
Toute une vie,The movie follows the lives of a woman and a man starting from several generations earlier. The story spans a whole century and several continents.,0,0,1,1,0,0,0,0,0,movie follow live woman man start several generations earlier story span whole century several continents france
And Then There Were None 2017,8 good looking people stop in the middle of the Mojave desert and people start dying.,0,0,0,0,0,0,0,0,1,good look people stop middle mojave desert people start die desert
Ankur Arora Murder Case,"A highly reputed doctor makes a small mistake, which costs the life of a kid Ankur Arora. Will he succeed in hiding his mistake or will the mother of the kid get Justice.",0,0,1,0,0,0,0,0,1,highly repute doctor make small mistake cost life kid ankur arora succeed hide mistake mother kid get justice loss son medical misconduct surgeon doctor surgery
The Apprenticeship of Ted Kotcheff,A spotlight on Legendary Canadian Hollywood director Ted Kotcheff.,0,0,0,0,0,1,0,0,0,spotlight legendary canadian hollywood director ted kotcheff director
Il fiore delle mille e una notte,"In ancient Arabia, a beautiful slave girl chooses a youth to be her new master, then she is kidnapped and they must search for each other. Stories are told within stories: love, travel and the whims of destiny.",1,0,1,0,0,0,0,1,0,ancient arabia beautiful slave girl choose youth new master kidnap must search stories tell stories love travel whims destiny oral sex male nudity erection sex slave erect penis
The Autobiography of Miss Jane Pittman,Story of a black woman in the South who was born into slavery in the 1850s and lives to become a part of the civil rights movement in the 1960s.,0,0,1,0,0,1,0,0,0,story black woman south bear slavery live become part civil right movement civil right slavery interview journalist deep south
Barry McKenzie Holds His Own,"Barry McKenzie&apos;s Aunt Edna is kidnapped by Count Von Plasma, the vampire head of an isolated Eastern European dictatorship who mistakes her for the Queen of England and thinks that kidnapping her will draw tourists to his country....",1,0,0,0,0,0,0,0,0,barry mckenzie aunt edna kidnap count von plasma vampire head isolate eastern european dictatorship mistake queen england think kidnap draw tourists country write star gay slur damsel distress race time racism
Big Bad Mama II,"The evil local land baron forecloses on Angie&apos;s place, and she and her two daughters must leave and continue their life of crime. A reporter witnesses their heist of a bank, and helps them become folk legends by writing a story ab...",1,1,0,0,1,0,0,0,0,evil local land baron foreclose angie place daughters must leave continue life crime reporter witness heist bank help become folk legends write story ab exploitation film breast bare chested male female frontal nudity skinny dip
Black Christmas,"A Mysterious Intruder Breaks into a Fraternity House and begins to stalk and murder the occupants one by one, as the victims try to figure out who is behind the killings before they all become victims to the intruder.",0,0,0,0,0,0,0,0,1,mysterious intruder break fraternity house begin stalk murder occupants victims try figure behind kill become victims intruder fan film sorority house telephone terror telephone call base urban legend
Blood of Dracula,"Under hypnosis, a young woman turns into a vampire.",0,0,0,0,0,0,0,0,1,hypnosis young woman turn vampire female vampire vampire schoolgirl board school girls board school female student
Bring Me the Head of Alfredo Garcia,An American barroom pianist and his prostitute girlfriend go on a trip through the Mexican underworld to collect the bounty on the head of a dead gigolo.,0,1,1,0,1,0,0,0,0,american barroom pianist prostitute girlfriend go trip mexican underworld collect bounty head dead gigolo bounty hunter anti hero neo western man army grave
California Scheming,"A teen seductress pulls three other privileged Malibu kids into her devious scheme, and unforeseen consequences force the group to face their own fears and mortality.",0,0,1,0,0,0,0,0,1,teen seductress pull privilege malibu kid devious scheme unforeseen consequences force group face fear mortality bare chested male malibu beach seagull pool
The Castaway Cowboy,"A Texas cowboy is rescued at sea by a 12-year-old boy. While he waits to return home, he decides to help out his rescuer&apos;s family.",1,0,0,0,1,0,1,0,0,texas cowboy rescue sea year old boy wait return home decide help rescuer family cattle potato farm reference texas reference california kauai
Cockfighter,A trainer of fighting cocks takes a vow of silence and gambles his loves and possessions in a bid to win a championship.,0,0,1,0,0,0,0,0,0,trainer fight cock take vow silence gamble love possessions bid win championship hixploitation timeframe female nudity medal rooster
Moffie,A young man in 1981 South Africa must complete his brutal and racist two years of compulsory military service while desperately maintaining the secrecy of his homosexuality.,0,0,1,1,1,0,0,0,0,young man south africa must complete brutal racist years compulsory military service desperately maintain secrecy homosexuality apartheid homophobia south africa military train gay kiss
The Crazy World of Julius Vrooder,"Julius Vrooder returns from the Vietnam War, pretending to be crazy to cope with the world which lands him in a VA hospital. He locates a tunnel where he creates a bunker existence complete with electricity while also falling in l...",1,0,1,0,0,0,0,0,0,julius vrooder return vietnam war pretend crazy cope world land va hospital locate tunnel create bunker existence complete electricity fall l vietnam war veteran veteran veterans hospital telephone readjustment
Dark Star,They&apos;re here - A.I. will take over of earth unless a trio of astral warriors can stop it.,0,0,0,0,0,0,0,1,0,take earth unless trio astral warriors stop earth
Death Wish,"Dr. Paul Kersey is an experienced trauma surgeon, a man who has spent his life saving lives. After an attack on his family, Paul embarks on his own mission for justice.",0,1,1,0,1,0,0,0,0,dr paul kersey experience trauma surgeon man spend life save live attack family paul embark mission justice remake vigilante vigilantism paul kersey character dark hero
The Deluge,"A stone building, newly restored, stands in the clear light of the autumnal equinox. People move along the street immersed in the flow of day-to-day events. Small incidents play out, affecting individual lives. Families are leavin...",0,0,0,0,0,0,0,0,0,stone build newly restore stand clear light autumnal equinox people move along street immerse flow day day events small incidents play affect individual live families leavin nan
Dost,"Maanav is an orphan who was brought up by a Catholic Priest, Father Francis. After completing his M.A. he returns home to Taran Devi and finds out that his mentor his dead. He re-locates to Bombay by train, and a man named Gopicha...",0,0,1,0,0,0,0,0,0,maanav orphan bring catholic priest father francis complete return home taran devi find mentor dead locate bombay train man name gopicha friend train priest catholic priest death
"Szerelmem, Elektra","It has been fifteen years since the death of her father, Agamemnon, and Elektra still burns with hatred for Aegisztosz, who conspired with Elektra&apos;s mother to kill him.",0,0,1,0,0,0,0,0,0,fifteen years since death father agamemnon elektra still burn hatred aegisztosz conspire elektra mother kill female full frontal nudity female rear nudity female pubic hair male rear nudity class struggle
For Pete&apos;s Sake!,"A touching story of Pete, Marge, and their young son Ronnie Harper coming to terms with new faith in the midst of life&apos;s frustration and even serious tragedy.",0,0,1,0,0,0,0,0,0,touch story pete marge young son ronnie harper come term new faith midst life frustration even serious tragedy psychotronic film motorcycle faith prayer heart attack
Général Idi Amin Dada: Autoportrait,A documentary on the military dictator of Africa&apos;s Uganda.,0,0,0,0,0,1,0,0,0,documentary military dictator africa uganda central africa brutality timeframe dictator uganda
Ginger in the Morning,"An attractive young hitchhiker named Ginger meets and and takes up with a lonely, middle-aged advertising executive who is recently divorced. He is inspired by her free-spirited independence while she is drawn to his old-fashioned...",1,0,1,1,0,0,0,0,0,attractive young hitchhiker name ginger meet take lonely middle age advertise executive recently divorce inspire free spirit independence draw old fashion war buddy unwanted guest unexpected visit new year eve new year eve party
Gojira tai Mekagojira,"An Okinawan prophecy appears to foretell Earth&apos;s destruction at the hands of Godzilla, only for the true Godzilla to reveal his doppelganger as a mechanical alien weapon.",0,0,0,0,1,0,1,0,0,okinawan prophecy appear foretell earth destruction hand godzilla true godzilla reveal doppelganger mechanical alien weapon godzilla alien giant robot robot robot monster battle
The Golden Voyage of Sinbad,"Sinbad and the vizier of Marabia, followed by evil magician Koura, seek the three golden tablets that can gain them access to the ancient temple of the Oracle of All Knowledge.",0,0,0,0,1,0,0,1,0,sinbad vizier marabia follow evil magician koura seek golden tablets gain access ancient temple oracle knowledge treasure chest gold coin psychotronic film reference kali hindu deity sinbad sailor character
Juggernaut,"After a lengthy absence, a small town outlaw returns to his hometown, violently obsessed with the notion that his Mother&apos;s death was not a suicide.",0,1,1,0,0,0,1,0,0,lengthy absence small town outlaw return hometown violently obsess notion mother death suicide death
Kunwara Baap,A poor rickshaw-puller adopts an abandoned child and brings him up as his son but tragedy strikes when the boy becomes crippled as a result of polio infection.,1,0,1,0,0,0,0,0,0,poor rickshaw puller adopt abandon child bring son tragedy strike boy become cripple result polio infection social message death break fourth wall temple doctor
Lacombe Lucien,"In 1944, an 18-year old boy from small-town France, collaborates with the Nazi-regime and subsequently falls in love with a Jewish girl.",0,0,1,1,1,0,0,0,0,year old boy small town france collaborate nazi regime subsequently fall love jewish girl france year collaborator french german relations teenage boy
Ladies and Gentlemen: The Rolling Stones,A concert film taken from two Rolling Stones concerts during their 1972 North American tour.,0,0,0,0,0,1,0,0,0,concert film take roll stone concert north american tour roll stone concert film live performance rock music
Lovin&apos; Molly,Acclaimed director Sidney Lumet brings this marvelous adaptation of a Larry McMurtry novel to life. Blythe Danner and Susasn Sarandon star in this complex yet disarmingly fresh look at love,0,0,1,1,0,0,0,0,0,acclaim director sidney lumet bring marvelous adaptation larry mcmurtry novel life blythe danner susasn sarandon star complex disarmingly fresh look love beer public nudity barefoot woman female topless nudity timeframe
Luther: The Fallen Sun,Brilliant but disgraced detective John Luther breaks out of prison to hunt down a sadistic serial killer who is terrorising London.,0,1,1,0,0,0,0,0,1,brilliant disgrace detective john luther break prison hunt sadistic serial killer terrorise london base tv series criminal detective police murder
The Man Who Sleeps Backwards in Time,"Condemned to sleep backwards in time, a broken father struggles to save his daughter from a deadly study designed to eliminate sleep - a study he signed her up for.",0,0,1,0,0,0,0,1,0,condemn sleep backwards time break father struggle save daughter deadly study design eliminate sleep study sign nan
The Return of October,"This is the warm-hearted story of a wholesome Terry Moore, whose late uncle Willie (James Gleason) is reincarnated as a thoroughbred horse. At least, as far as Ms. Moore is concerned, he is. The horse&apos;s name is October. Moore is t...",1,0,1,0,0,0,0,0,0,warm hearted story wholesome terry moore whose late uncle willie jam gleason reincarnate thoroughbred horse least far ms moore concern horse name october moore racehorse death uncle professor racetrack tout horse stable
Mr. Majestyk,A melon farmer battles organized crime and a hit man who wants to kill him.,0,1,1,0,1,0,0,0,0,melon farmer battle organize crime hit man want kill neo noir character name title word title hixploitation character repeat someone else dialogue
The Night Porter,A hotel porter mistakes honeymooners for jewel thieves.,1,0,0,0,0,0,0,0,0,hotel porter mistake honeymooners jewel thieve base play
The Nine Lives of Fritz the Cat,"Fritz the Cat may have lost one of his lives in the comics, but in his new movie, he has eight more lives left to go! While his wife screams at him, Fritz lights up a joint and reminiscences about what could have been.",1,0,0,0,0,0,1,0,0,fritz cat lose live comics new movie live leave go wife scream fritz light joint reminiscences could cat movie reincarnation past live joint
Orders to Kill,American agent faces an engrossing moral dilemma when he is parachuted into France to eliminate a suspected traitor in the French Resistance.,0,0,1,0,1,0,0,0,1,american agent face engross moral dilemma parachute france eliminate suspect traitor french resistance year word title american abroad british pilot
Den-en ni shisu,"A young boys&apos; coming of age tale set in a strange, carnivalesque village becomes the recreation of a memory that the director has twenty years later.",0,0,1,0,0,0,0,1,0,young boys come age tale set strange carnivalesque village become recreation memory director twenty years later japanese new wave surrealism psychedelic male rear nudity female male rape
The Red Tree,An elderly man returns to a remote island of the coast of Italy where 60 years before during the Fascist era he was imprisoned with hundreds of other men for being homosexual.,0,0,0,0,0,1,0,0,0,elderly man return remote island coast italy years fascist era imprison hundreds men homosexual nan
The Rehearsal,First-year acting student Stanley mines his girlfriend&apos;s family scandal as material for the end-of-year show at drama school. The result is a moral minefield.,0,0,1,0,0,0,0,0,0,first year act student stanley mine girlfriend family scandal material end year show drama school result moral minefield f rat
Sandakan hachibanshokan bohkyo,"A journalist interviews an old woman who was forced into prostitution, just like many other Japanese women working in Asia outside of Japan during the first half of the 20th century. She worked in a Malaysian brothel called Sandak...",0,0,1,0,1,1,0,0,0,journalist interview old woman force prostitution like many japanese women work asia outside japan first half th century work malaysian brothel call sandak original author character cry woman prostitution flashback world war
Scent of a Woman,"Two strangers cross path at an art exhibition and the chemistry is palpable . They realise that their journeys have long been inter-wined into one another, that the choices they made in life have led them here . Have they found th...",0,0,1,0,0,0,0,0,0,strangers cross path art exhibition chemistry palpable realise journey long inter win another choices make life lead find th nan
Onna hissatsu ken: Kiki ippatsu,"This time Koryu heads to Yokohama in search of a woman named Birei, kidnapped by diamond smugglers who move their hot rocks by surgically implanting them into the nubile buttocks of Chinese prostitutes. Koryu&apos;s older sister, worki...",0,1,0,0,1,0,0,0,0,time koryu head yokohama search woman name birei kidnap diamond smugglers move hot rock surgically implant nubile buttocks chinese prostitute koryu older sister worki kick head second part sequel spin grindhouse film diamond
Stardust,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he&apos;ll retrieve a fallen star by venturing into the magical realm.",0,0,0,0,1,0,1,1,0,countryside town border magical land young man make promise beloved retrieve fall star venture magical realm witch magic transformation shoot star word title
Still Life,A council case worker looks for the relatives of those found dead and alone.,0,0,1,0,0,0,0,0,0,council case worker look relatives find dead alone loneliness peel apple sole attendee greyhound dog personal eulogy
The Sugarland Express,A woman attempts to reunite her family by helping her husband escape prison and together kidnapping their son. But things don&apos;t go as planned when they are forced to take a police hostage on the road.,0,1,1,0,0,0,0,0,0,woman attempt reunite family help husband escape prison together kidnap son things go plan force take police hostage road texas hostage pursuit kidnap fugitive
Swept Away,A challenge to our perception of how others navigate through the world.,0,0,0,1,0,0,0,0,0,challenge perception others navigate world nan
The Legacy of the Texas Chain Saw Massacre,"An in-depth look at the legacy of Tobe Hooper&apos;s horror classic, The Texas Chain Saw Massacre.",0,0,0,0,0,1,0,0,0,depth look legacy tobe hooper horror classic texas chain saw massacre nan
Thieves Like Us,"Toby is one of the best thieves out there, but his heart isn&apos;t in it. He wants to give up his life of crime and marry Lindsey. When his partner gets kidnapped, Toby is sent on a downward spiral and risks losing his friend, his gir...",1,0,0,1,1,0,0,0,0,toby best thieve heart want give life crime marry lindsey partner get kidnap toby send downward spiral risk lose friend gir thief stunt police kung fu fight
Torkaman,In Turkmen region Artegh proposes for Ghelich Khan&apos;s daughter several times but each time her father refuses. Artegh kidnaps her but this is only the beginning of the troubles.,0,0,1,0,0,0,0,0,1,turkmen region artegh propose ghelich khan daughter several time time father refuse artegh kidnap begin trouble father
Truck Turner,"While tracking a strong-armed pimp who has skipped bail, a bounty hunter discovers a contract has been put out on him and must go on the run.",0,1,0,0,1,0,0,0,1,track strong arm pimp skip bail bounty hunter discover contract put must go run bounty hunter year cat creme de menthe child jeopardy
The Traveler,"A slow, quiet Christmas Eve night at the police station turns into strange horror after a man enters claiming he wants to confess to murder.",0,0,0,0,1,0,0,0,1,slow quiet christmas eve night police station turn strange horror man enter claim want confess murder police station police mysterious stranger christmas eve christmas
Vampyres,"Deep in the rural English countryside, two tempting daughters of Erebus, the woeful wraith-like phantoms Fran and Miriam, prey on the innocent and the foolishly brave to tread alone.",0,0,0,0,0,0,0,0,1,deep rural english countryside tempt daughters erebus woeful wraith like phantoms fran miriam prey innocent foolishly brave tread alone exploitation sexy sexploitation erotic horror male nudity
Where the Lilies Bloom,A family of Appalachian children live together in the backwoods so that they can stay together after the death of their widower father.,0,0,1,1,0,0,1,0,0,family appalachian children live together backwoods stay together death widower father smoky mountains siblings live together sister relationship brother sister relationship marjoram
Winnie the Pooh and Tigger Too,"Rabbit is tired of Tigger always bouncing him, so he gets Pooh and Piglet together to come up with an idea to get the bounce out of Tigger. Rabbit suggests they take him into the middle of nowhere and leave him overnight. The idea...",1,0,0,0,0,0,1,0,0,rabbit tire tigger always bounce get pooh piglet together come idea get bounce tigger rabbit suggest take middle nowhere leave overnight idea cartoon bear cartoon owl cartoon pig cartoon rabbit cartoon tiger
Zandy&apos;s Bride,An American settler marries an European mail-order bride and together they learn how to thrive in the harsh wilderness while working on their relationship too.,0,0,1,0,1,0,0,0,0,american settler marry european mail order bride together learn thrive harsh wilderness work relationship gift tailor adultery old west swedish woman abroad
The Satanic Rites of Dracula,"In the 1970s, Scotland Yard believed it had uncovered a case of vampirism. They call in veteran vampire researcher Professor Lorrimer Van Helsing (a descendant of Dr. Abraham Van Helsing).",0,0,0,0,0,0,0,0,1,scotland yard believe uncover case vampirism call veteran vampire researcher professor lorrimer van helsing descendant dr abraham van helsing dracula female frontal nudity london england nude woman altar psychotronic film
From Beyond the Grave,"When Emily dies of a drug overdose at a party, it raises concern and questions as to why she was there.The secret will be told from beyond the grave.",0,0,0,0,0,0,0,0,1,emily die drug overdose party raise concern question secret tell beyond grave nan
Busting Out,"BUSTING OUT will challenge how you think about breasts. Filmmaker Francine Strickwerda lost her mother to breast cancer as a child, and then was the first in her class to &apos;develop.&apos; She&apos;s been haunted by &apos;the boobs of doom&apos; ever s...",0,0,0,0,0,1,0,0,0,bust challenge think breast filmmaker francine strickwerda lose mother breast cancer child first class develop haunt boob doom ever f rat female protagonist breast breast cancer radio dj
Our Time,A student at Penfield Girls&apos; School falls in love with a male student in 1955. They are deeply in love but meet difficulties and disapproval on every corner.,0,0,1,0,0,0,0,0,0,student penfield girls school fall love male student deeply love meet difficulties disapproval every corner girls school woman die abortion death botch abortion year
Kozure Ôkami: Jigoku e ikuzo! Daigorô,"In the sixth and final film of the Lone Wolf and Cub series, the final conflict between Ogami Itto and the Yagyu clan is carried out.",0,0,1,0,1,0,0,0,0,sixth final film lone wolf cub series final conflict ogami itto yagyu clan carry supernatural power psychotronic film base manga brother sister incest rape
Frankenstein and the Monster from Hell,Baron Frankenstein works with a mental patient to reanimate the dead.,0,0,0,0,0,0,0,1,1,baron frankenstein work mental patient reanimate dead mad scientist mute woman laboratory surgeon sequel
Huckleberry Finn,"In 1840s Missouri, young Huckleberry Finn, wanting to escape his violent drunkard father, joins Black runaway slave Jim on a quest for freedom down the Mississippi River on a raft.",0,0,0,0,1,0,1,0,0,missouri young huckleberry finn want escape violent drunkard father join black runaway slave jim quest freedom mississippi river raft character name title word title th century runaway boy drunkard
Welcome to Arrow Beach,A hippie girl wandering on a California beach is taken in by a Korean War veteran who lives in a nearby mansion with his sister. The girl soon begins to suspect that the mansion is home to some very strange goings-on.,0,0,0,0,0,0,0,0,1,hippie girl wander california beach take korean war veteran live nearby mansion sister girl soon begin suspect mansion home strange go female nudity female full frontal nudity female rear nudity public nudity skinny dip
"Birds Do It, Bees Do It","Mating rituals of animal life make for a fascinating documentary, from insects to mammals.",0,0,0,0,0,1,0,0,0,mat rituals animal life make fascinate documentary insects mammals animal title copulation repetition title statement title wildlife
Where the Red Fern Grows,Where the Red Fern Grows is the heartwarming and adventurous tale for all ages about a young boy and his quest for his own red-bone hound hunting dogs.,0,0,1,0,0,0,1,0,0,red fern grow heartwarming adventurous tale age young boy quest red bone hound hunt dog barefoot male barefoot boy tickle feet overalls boy wear overalls
Three the Hard Way,Blaxploitation film about three martial-arts specialists who prevent white supremacists from tainting the U.S. water supply with a toxin that&apos;s only harmful to black people.,0,0,0,0,1,0,0,0,1,blaxploitation film martial arts specialists prevent white supremacists taint u water supply toxin harmful black people beer chess red wine pool table chase car
Cheap,Mild-mannered insurance-adjuster Willard teams up with a foul-mouthed fowl who takes him on a surreal quest to become less uptight--and possibly get laid.,1,0,0,0,0,0,1,1,0,mild mannered insurance adjuster willard team foul mouth fowl take surreal quest become less uptight possibly get lay sex scene king kong character duck insurance company jive
Uptown Saturday Night,"At Madame Zenobia&apos;s illegal nightclub, when Steve Jackson and Wardell Franklin get robbed of their wallets containing a winning lottery ticket, they set out to recover it.",1,1,0,0,1,0,0,0,0,madame zenobia illegal nightclub steve jackson wardell franklin get rob wallets contain win lottery ticket set recover theft scene open credit title song lottery ticket husband wife relationship
Nosutoradamusu no daiyogen,"Professor Nishiyama, after studying and interpreting the prophecies of Nostradamus, realizes that the end of the world is at hand. Unfortunately, nobody listens to him until it is too late. As the effects of mankind&apos;s tampering of...",0,0,0,0,1,0,0,1,0,professor nishiyama study interpret prophecies nostradamus realize end world hand unfortunately nobody listen late effect mankind tamper psychotronic film prophecy end world reference nostradamus year
