Name,Comedy,Crime,Drama,Romance,Action and Adventure,Documentary and History,Family and Animation,Fantasy and Sci-Fi,Horror and Thriller,Description Tokenized
Sherlock Gnomes,1,0,0,0,1,0,1,0,0,"['garden', 'gnomes', 'gnomeo', 'jam', 'mcavoy', 'juliet', 'emily', 'blunt', 'recruit', 'renowned', 'detective', 'sherlock', 'gnomes', 'johnny', 'depp', 'investigate', 'mysterious', 'disappearance', 'garden', 'ornament']"
L'armata Brancaleone,1,0,0,0,1,1,0,0,0,"['group', 'misfits', 'head', 'incompetent', 'knight', 'name', 'brancaleone', 'set', 'reach', 'small', 'town', 'aurocastro', 'leader', 'take', 'possession', 'fief']"
Mandela: Long Walk to Freedom,0,0,1,0,0,1,0,0,0,"['chronicle', 'nelson', 'mandelas', 'life', 'journey', 'childhood', 'rural', 'village', 'inauguration', 'first', 'democratically', 'elect', 'president', 'south', 'africa']"
First Men in the Moon,0,0,0,0,1,0,0,1,0,"['spaceship', 'land', 'moon', 'hail', 'new', 'accomplishment', 'become', 'clear', 'victorian', 'party', 'complete', 'journey', 'lead', 'investigators', 'missions', 'last', 'survivor']"
The Fall of the Roman Empire,0,0,1,0,1,1,0,0,0,"['death', 'marcus', 'aurelius', 'lead', 'succession', 'crisis', 'decease', 'emperors', 'son', 'commodus', 'demonstrate', 'unwilling', 'let', 'anything', 'undermine', 'claim', 'roman', 'empire']"
Mangiati vivi!,0,0,0,0,1,0,0,0,1,"['young', 'woman', 'team', 'mercenary', 'miss', 'sister', 'jungles', 'new', 'guinea', 'derange', 'leader', 'religious', 'cult', 'locate', 'commune', 'area', 'inhabit', 'cannibals']"
Wrong Turn 6: Last Resort,0,0,0,0,1,0,0,0,1,"['inheritance', 'lead', 'young', 'man', 'friends', 'abandon', 'resort', 'inhabit', 'sketchy', 'caretakers', 'clan', 'mutant', 'cannibals']"
The Wackness,1,0,1,1,0,0,0,0,0,"['summer', 'streets', 'new', 'york', 'pulse', 'hip', 'hop', 'set', 'backdrop', 'lonely', 'teenager', 'name', 'luke', 'shapiro', 'spend', 'last', 'summer', 'university', 'sell', 'marijuana', 'throughout', 'new', 'york', 'city', 'tr']"
Poor Things,0,0,0,1,0,0,0,1,0,"['film', 'victorian', 'tale', 'love', 'discovery', 'scientific', 'dare', 'poor', 'things', 'tell', 'incredible', 'story', 'belle', 'baxter', 'young', 'woman', 'bring', 'back', 'life', 'eccentric', 'brilliant', 'scientist']"
20 Dates,1,0,0,1,0,1,0,0,0,"['documentary', 'type', 'film', 'date', 'myles', 'go', 'try', 'love', 'future']"
The BFG,0,0,0,0,1,0,1,1,0,"['orphan', 'little', 'girl', 'befriend', 'benevolent', 'giant', 'take', 'giant', 'country', 'attempt', 'stop', 'man', 'eat', 'giants', 'invade', 'human', 'world']"
Dante's Peak,0,0,0,0,1,0,0,0,1,"['volcanologist', 'arrive', 'countryside', 'town', 'recently', 'name', 'second', 'desirable', 'place', 'live', 'america', 'discover', 'long', 'dormant', 'volcano', 'dantes', 'peak', 'wake', 'moment']"
Les 12 travaux d'Astérix,1,0,0,0,1,0,1,0,0,"['group', 'indomitable', 'gauls', 'challenge', 'roman', 'emperor', 'julius', 'caesar', 'accomplish', 'twelve', 'impossible', 'task']"
Just Write,1,0,0,1,0,0,0,0,0,"['hollywood', 'tour', 'bus', 'driver', 'pose', 'screenwriter', 'romance', 'come', 'young', 'actress']"
Fantasia,0,0,0,0,0,0,1,1,0,"['collection', 'animate', 'interpretations', 'great', 'work', 'western', 'classical', 'music', 'range', 'abstract', 'depictions', 'mythology', 'fantasy', 'settings', 'include', 'prehistoric', 'supernatural', 'sacred']"
Jane Eyre,0,0,1,1,0,0,0,0,0,"['mousy', 'govern', 'soften', 'heart', 'employer', 'soon', 'discover', 'hes', 'hide', 'terrible', 'secret']"
Spotlight,0,1,1,0,0,1,0,0,0,"['true', 'story', 'boston', 'globe', 'uncover', 'massive', 'scandal', 'child', 'molestation', 'cover', 'local', 'catholic', 'archdiocese', 'shake', 'entire', 'catholic', 'church', 'core']"
Hollow Man II,0,0,0,0,1,0,0,1,1,"['seattle', 'detective', 'biologist', 'run', 'dangerous', 'invisible', 'assassin', 'go', 'rogue']"
The Professionals,0,0,1,0,1,0,0,0,0,"['arrogant', 'texas', 'millionaire', 'hire', 'adventurers', 'rescue', 'kidnap', 'wife', 'notorious', 'mexican', 'bandit']"
Some Kind of Hero,1,1,1,0,0,0,0,0,0,"['vietnam', 'vet', 'return', 'home', 'prisoner', 'war', 'camp', 'greet', 'hero', 'quickly', 'forget', 'soon', 'discover', 'tough', 'survival', 'country']"
About Time,1,0,1,0,0,0,0,1,0,"['age', 'tim', 'discover', 'travel', 'time', 'change', 'happen', 'happen', 'life', 'decision', 'make', 'world', 'better', 'place', 'get', 'girlfriend', 'turn', 'easy', 'might', 'think']"
La femme de l'aviateur,0,0,1,1,0,0,0,0,0,"['young', 'student', 'devastate', 'girlfriend', 'cheat', 'order', 'decide', 'spy', 'lover']"
Firepower,0,1,0,0,1,0,0,1,0,"['near', 'future', 'street', 'gang', 'city', 'zone', 'cop', 'cant', 'go', 'tough', 'cop', 'send', 'undercover', 'investigate', 'illegal', 'cure', 'aid', 'must', 'first', 'fight', 'deathmatch', 'match']"
The Power,0,0,1,0,0,0,0,1,1,"['young', 'nurse', 'force', 'work', 'night', 'shift', 'crumble', 'hospital', 'strike', 'miners', 'switch', 'power', 'britain', 'inside', 'wall', 'lurk', 'terrify', 'presence', 'threaten', 'consume', 'everyone', 'around']"
101 Reykjavík,1,0,0,1,0,0,0,0,0,"['hlynur', 'ever', 'move', 'mother', 'apartment', 'reykjavik', 'social', 'welfare', 'keep', 'passive', 'things', 'change', 'mother', 'spanish', 'friend', 'lola', 'arrive', 'stay', 'xmas', 'new', 'years', 'eve']"
Cardiac Arrest,0,1,1,0,0,0,0,0,1,"['serial', 'killer', 'plague', 'san', 'francisco', 'surgically', 'remove', 'hearts', 'victims', 'assign', 'case', 'weak', 'stomach', 'homicide', 'detective', 'investigate', 'possibility', 'black', 'market', 'organ', 'transplant']"
The Face of Fu Manchu,0,1,1,0,1,0,0,0,0,"['cheat', 'death', 'master', 'criminal', 'dr', 'fu', 'manchu', 'return', 'plot', 'contaminate', 'river', 'thames', 'powerful', 'toxin', 'extract', 'tibetan', 'poppies']"
Paranoid Park,0,1,1,0,0,0,0,0,1,"['teenage', 'skateboarders', 'life', 'begin', 'fray', 'involve', 'accidental', 'death', 'security', 'guard']"
Senseless,0,1,1,0,0,0,0,0,1,"['base', 'stona', 'fitchs', 'novel', 'story', 'wealthy', 'us', 'businessman', 'behr', 'whose', 'brutal', 'kidnap', 'torture', 'stream', 'online', 'part', 'ultra', 'violent', 'reality', 'tv', 'show']"
Kladivo na carodejnice,0,0,1,0,0,1,0,0,1,"['overzealous', 'clergy', 'haul', 'innocent', 'women', 'front', 'tribunals', 'force', 'confess', 'imaginary', 'witchery', 'engage', 'brutal', 'torture', 'persecution', 'subject']"
Warriors of Virtue,0,0,0,0,1,0,0,1,0,"['young', 'boy', 'whisk', 'away', 'mythical', 'land', 'tao', 'become', 'center', 'conflict', 'evil', 'lord', 'group', 'animal', 'warriors']"
Anthem of a Teenage Prophet,0,0,1,0,0,0,0,1,0,"['anthem', 'tell', 'story', 'luke', 'monaghan', 'teenager', 'foresee', 'death', 'new', 'best', 'friend', 'stan', 'macnicoll', 'popular', 'guy', 'school', 'premonition', 'become', 'reality', 'luke', 'must', 'deal', 'trials', 'tribula']"
"I, Tonya",1,0,1,0,0,1,0,0,0,"['competitive', 'ice', 'skater', 'tonya', 'harding', 'rise', 'amongst', 'rank', 'u', 'figure', 'skate', 'championships', 'future', 'activity', 'throw', 'doubt', 'ex', 'husband', 'intervene']"
The Secrets of Jonathan Sperry,0,0,1,0,0,0,1,0,0,"['year', 'old', 'jonathan', 'sperry', 'start', 'mentor', 'boys', 'dustin', 'albert', 'mark', 'follow', 'lord']"
Southern Comfort,0,0,0,0,0,1,0,0,0,"['southern', 'comfort', 'document', 'final', 'year', 'life', 'robert', 'eads', 'transgender', 'man', 'eads', 'diagnose', 'ovarian', 'cancer', 'turn', 'treatment', 'dozen', 'doctor', 'fear', 'treat', 'patient', 'would', 'hurt']"
Péril en la demeure,0,1,1,0,0,0,0,0,1,"['magnate', 'younger', 'wife', 'hire', 'david', 'teach', 'guitar', 'teenage', 'daughter', 'wife', 'quickly', 'seduce', 'david', 'simultaneously', 'strike', 'acquaintance', 'familys', 'inquisitive', 'neighbor', 'night', 'david', 'mugg']"
Mo' Money,1,1,0,0,1,0,0,0,0,"['petty', 'crook', 'stalk', 'cute', 'girl', 'office', 'build', 'take', 'job', 'applicant', 'con', 'get', 'job', 'mail', 'room', 'new', 'credit', 'card', 'superiors', 'worse', 'crook']"
License to Drive,1,0,0,0,0,0,0,0,0,"['teen', 'decide', 'go', 'night', 'town', 'friends', 'despite', 'flunk', 'drivers', 'test']"
The Lion King,0,0,1,0,1,0,1,0,0,"['lion', 'prince', 'simba', 'father', 'target', 'bitter', 'uncle', 'want', 'ascend', 'throne']"
McBain,0,1,1,0,1,0,0,0,0,"['former', 'vietnam', 'war', 'lieutenant', 'reform', 'old', 'team', 'order', 'help', 'revolutionarys', 'sister', 'overthrow', 'ruthless', 'dictator']"
Jinnah,0,0,1,0,1,1,0,0,0,"['story', 'jinnah', 'founder', 'pakistan']"
Being at Home with Claude,0,1,1,1,0,0,0,0,0,"['hard', 'review', 'movie', 'without', 'give', 'anything', 'away', 'suffice', 'say', 'depict', 'crime', 'member', 'gay', 'male', 'relationship', 'desperate', 'struggle', 'lead', 'character', 'make', 'around', 'understan']"
Rock Around the Clock,1,0,0,1,0,0,0,0,0,"['orchestra', 'manager', 'steve', 'hollis', 'realize', 'big', 'band', 'music', 'dead', 'people', 'want', 'something', 'new', 'way', 'new', 'york', 'steve', 'companion', 'corny', 'stop', 'motel', 'small', 'place', 'call', 'strawberry', 'spring', 'sa']"
13 Going on 30,1,0,0,1,0,0,0,1,0,"['girl', 'make', 'wish', 'thirteenth', 'birthday', 'wake', 'next', 'day', 'thirty', 'year', 'old', 'woman']"
The Water Horse,0,0,0,0,1,0,1,1,0,"['lonely', 'boy', 'discover', 'mysterious', 'egg', 'hatch', 'sea', 'creature', 'scottish', 'legend']"
Dillinger,0,1,0,0,1,1,0,0,0,"['john', 'dillinger', 'gang', 'go', 'bank', 'rob', 'spree', 'midwest', 'g', 'man', 'determine', 'bring']"
Cobra Verde,0,0,1,0,1,0,0,0,0,"['parole', 'brazilian', 'bandit', 'cobra', 'verde', 'send', 'west', 'africa', 'troop', 'man', 'old', 'portuguese', 'fort', 'convince', 'local', 'african', 'ruler', 'resume', 'slave', 'trade', 'brazil']"
A Fairy Tale After All,0,0,0,0,1,0,1,1,0,"['stubborn', 'teenage', 'girl', 'confront', 'whimsical', 'character', 'transport', 'world', 'fantasy', 'fairy', 'tales', 'attend', 'school', 'marionette', 'show']"
Saajan,0,0,1,1,0,0,0,0,0,"['poet', 'sanjay', 'dutt', 'best', 'friend', 'salman', 'khan', 'fall', 'love', 'woman', 'madhuri', 'dixit']"
Black Beauty,0,0,1,0,1,0,1,0,0,"['farmer', 'evans', 'mare', 'fine', 'son', 'promise', 'black', 'stallion', 'son', 'joe', 'youngster', 'enjoy', 'grow', 'playmates', 'alas', 'good', 'squire', 'bury', 'mean', 'heir', 'abuse', 'animals', 'turn', 'screw', 'till']"
Little Shop of Horrors,1,0,0,0,0,0,0,0,1,"['nerdy', 'florist', 'chance', 'success', 'romance', 'help', 'giant', 'man', 'eat', 'plant', 'demand', 'feed']"
Offret,0,0,1,0,0,0,0,0,0,"['dawn', 'world', 'war', 'iii', 'man', 'search', 'way', 'restore', 'peace', 'world', 'must', 'give', 'something', 'return']"
A Goofy Movie,1,0,0,0,1,0,1,0,0,"['max', 'make', 'preposterous', 'promise', 'girl', 'crush', 'chance', 'fulfil', 'seem', 'hopeless', 'drag', 'onto', 'cross', 'country', 'trip', 'embarrass', 'father', 'goofy']"
Family Viewing,0,0,1,0,0,0,0,0,0,"['vans', 'father', 'stan', 'fond', 'video', 'always', 'tap', 'scenes', 'daily', 'family', 'life', 'take', 'care', 'vans', 'grandmother', 'armen', 'although', 'could', 'afford', 'home', 'spend', 'days', 'watch', 'tv', 'old', 'pe']"
Mask of the Avenger,0,0,1,0,1,1,0,0,0,"['european', 'revolutionary', 'fervor', 'italian', 'captain', 'renato', 'dimorna', 'try', 'avenge', 'father', 'death', 'go', 'corrupt', 'local', 'military', 'governor', 'larocca', 'prevent', 'austrian', 'military', 'invasion']"
Hope Springs,1,0,0,1,0,0,0,0,0,"['brokenhearted', 'english', 'artist', 'travel', 'hope', 'usa', 'hop', 'get', 'life', 'start', 'draw', 'face', 'befriend', 'cute', 'mandy', 'scheme', 'ex', 'show', 'want', 'back']"
Halloweentown II: Kalabar's Revenge,0,0,0,0,1,0,1,1,0,"['young', 'witch', 'grandmother', 'work', 'together', 'foil', 'plan', 'wicked', 'warlocks', 'son', 'use', 'powerful', 'spell', 'create', 'chaos', 'world']"
Bombay Boys,1,1,1,0,0,0,0,0,0,"['men', 'western', 'origins', 'embroil', 'gang', 'war', 'homosexuality', 'love', 'arrive', 'mumbai', 'motives']"
Asterix & Obelix: The Middle Kingdom,1,0,0,0,1,0,1,0,0,"['daughter', 'chinese', 'emperor', 'han', 'xuandi', 'escape', 'strict', 'prince', 'seek', 'help', 'gauls', 'brave', 'warriors', 'asterix', 'obelix']"
Malena,0,0,1,1,1,0,0,0,0,"['amidst', 'war', 'climate', 'teenage', 'boy', 'discover', 'become', 'love', 'stricken', 'malena', 'sensual', 'woman', 'live', 'small', 'narrow', 'mind', 'italian', 'town']"
Girl with a Pearl Earring: And Other Treasures from the Mauritshuis,0,0,0,0,0,1,0,0,0,"['girl', 'pearl', 'earring', 'johannes', 'vermeer', 'endure', 'paint', 'history', 'art', 'beautifully', 'film', 'documentary', 'go', 'pursuit', 'answer', 'unresolved', 'riddle', 'surround', 'extraordinar']"
Year of the Gun,0,0,0,1,1,0,0,0,1,"['young', 'americans', 'journalist', 'photojournalist', 'experience', 'red', 'brigade', 'terrorists', 'close', 'rome']"
Star Trek Into Darkness,0,0,0,0,1,0,0,1,0,"['crew', 'enterprise', 'unstoppable', 'force', 'terror', 'organization', 'captain', 'kirk', 'lead', 'manhunt', 'war', 'zone', 'world', 'capture', 'man', 'weapon', 'mass', 'destruction']"
Jesus Christ Superstar,0,0,1,0,0,1,0,0,0,"['film', 'version', 'musical', 'stage', 'play', 'present', 'last', 'weeks', 'christs', 'life', 'tell', 'anachronistic', 'manner']"
Fu rong zhen,0,0,1,1,0,1,0,0,0,"['love', 'humiliation', 'politics', 'play', 'distant', 'village', 'china', 'cultural', 'revolution']"
The Good People of Orphan Ridge,1,0,0,0,0,0,0,0,1,"['indie', 'rock', 'band', 'sneak', 'haunt', 'house', 'record', 'final', 'album', 'meet', 'bargain', 'fairies', 'banshees', 'ominous', 'innkeeper']"
Skippy,1,0,0,1,0,0,1,0,0,"['half', 'wit', 'fall', 'love', 'beautiful', 'movie', 'star']"
Admiral Ushakov,0,0,1,0,0,1,0,0,0,"['historical', 'epic', 'legendary', 'russian', 'naval', 'commander', 'th', 'century', 'admiral', 'fyodor', 'ushakov', 'fight', 'crimea', 'russo', 'turkish', 'war']"
Hukkle,0,1,1,0,0,0,0,0,1,"['use', 'almost', 'dialogue', 'film', 'follow', 'number', 'residents', 'human', 'animal', 'small', 'rural', 'community', 'hungary', 'old', 'man', 'hiccup', 'shepherd', 'sheep', 'old', 'woman', 'goo']"
E.T. the Extra-Terrestrial,0,0,0,0,1,0,1,1,0,"['trouble', 'child', 'summon', 'courage', 'help', 'friendly', 'alien', 'escape', 'earth', 'return', 'home', 'planet']"
Superbabies: Baby Geniuses 2,1,0,0,0,0,0,1,1,0,"['group', 'smart', 'talk', 'toddlers', 'center', 'media', 'moguls', 'experiment', 'crack', 'code', 'baby', 'talk', 'toddlers', 'must', 'race', 'time', 'sake', 'baby', 'everywhere']"
Romance,0,0,1,1,0,0,0,0,0,"['frustrate', 'lack', 'intimacy', 'relationship', 'young', 'schoolteacher', 'go', 'series', 'intimidate', 'often', 'violent', 'sexual', 'partner']"
Wild Hogs,1,0,0,0,1,0,0,0,0,"['group', 'suburban', 'biker', 'wannabes', 'look', 'adventure', 'hit', 'open', 'road', 'get', 'bargain', 'encounter', 'new', 'mexico', 'gang', 'call', 'del', 'fuegos']"
Despicable Me 2,1,0,0,0,1,0,1,0,0,"['gru', 'worlds', 'super', 'bad', 'turn', 'super', 'dad', 'recruit', 'team', 'officials', 'stop', 'lethal', 'muscle', 'host', 'grus', 'fight', 'back', 'new', 'gadgetry', 'cars', 'minion', 'madness']"
American Honey,0,0,1,1,1,0,0,0,0,"['teenage', 'girl', 'nothing', 'lose', 'join', 'travel', 'magazine', 'sales', 'crew', 'get', 'catch', 'whirlwind', 'hard', 'party', 'law', 'bend', 'young', 'love', 'criss', 'cross', 'midwest', 'band', 'misfits']"
Madagascar,1,0,0,0,1,0,1,0,0,"['group', 'animals', 'spend', 'life', 'new', 'york', 'zoo', 'end', 'jungles', 'madagascar', 'must', 'adjust', 'live', 'wild']"
Fathers' Day,1,0,0,1,0,0,0,0,0,"['woman', 'con', 'old', 'boyfriends', 'search', 'runaway', 'son', 'convince', 'boys', 'father']"
Camp Nowhere,1,0,0,0,1,0,1,0,0,"['group', 'junior', 'high', 'kid', 'dont', 'want', 'go', 'summer', 'camp', 'choose', 'parent', 'make', 'adult', 'free', 'camp', 'hire', 'ex', 'drama', 'teacher', 'help']"
Midnight Express,0,1,1,0,0,1,0,0,0,"['billy', 'hay', 'american', 'college', 'student', 'catch', 'smuggle', 'drug', 'turkey', 'throw', 'prison']"
Evita,0,0,1,0,0,1,0,0,0,"['hit', 'musical', 'base', 'life', 'eva', 'peron', 'evita', 'duarte', 'b', 'picture', 'argentinian', 'actress', 'eventually', 'become', 'wife', 'argentinian', 'president', 'juan', 'domingo', 'peron', 'beloved', 'hat', 'woman', 'argentina']"
Alvin and the Chipmunks,1,0,0,0,1,0,1,0,0,"['musical', 'chipmunks', 'discover', 'aspire', 'songwriter', 'want', 'use', 'amaze', 'sing', 'abilities', 'become', 'famous']"
Appointment with Death,0,1,1,0,0,0,0,0,1,"['former', 'prison', 'wardress', 'dominate', 'live', 'adult', 'stepchildren', 'daughter', 'dead', 'archaeological', 'dig', 'near', 'dead', 'sea', 'great', 'many', 'suspect']"
Dumbo,0,0,0,0,1,0,1,1,0,"['young', 'elephant', 'whose', 'oversized', 'ears', 'enable', 'fly', 'help', 'save', 'struggle', 'circus', 'circus', 'plan', 'new', 'venture', 'dumbo', 'friends', 'discover', 'dark', 'secrets', 'beneath', 'shiny', 'veneer']"
Knocked Up,1,0,0,1,0,0,0,0,0,"['fun', 'love', 'party', 'animal', 'ben', 'stone', 'last', 'thing', 'ever', 'expect', 'night', 'stand', 'show', 'doorstep', 'weeks', 'later', 'tell', 'shes', 'pregnant', 'child']"
The Dark Crystal,0,0,0,0,1,0,1,1,0,"['another', 'planet', 'distant', 'past', 'gelfling', 'embark', 'quest', 'miss', 'shard', 'magical', 'crystal', 'restore', 'order', 'world']"
Tales from the Crypt: Demon Knight,0,0,0,0,1,0,0,1,1,"['high', 'level', 'demons', 'collect', 'low', 'level', 'demons', 'warriors', 'attempt', 'obtain', 'key', 'contain', 'blood', 'christ', 'key', 'guard', 'immortal', 'warriors', 'call', 'demon', 'knight']"
Payday,0,1,1,0,1,0,0,0,0,"['inexperienced', 'criminal', 'ben', 'hold', 'small', 'town', 'restaurant', 'poorly', 'plan', 'robbery', 'spiral', 'hostage', 'crisis', 'beyond', 'control', 'trap', 'inside', 'girlfriend', 'manager', 'adie', 'graham', 'cunning', 'sociopath']"
Caught,0,1,1,0,0,0,0,0,1,"['desperate', 'housewife', 'discover', 'husband', 'affair', 'kidnap', 'unsuspecting', 'mistress', 'start', 'prank', 'quickly', 'spiral', 'control']"
Firelight,0,0,1,1,0,0,0,0,0,"['lovely', 'govern', 'elisabeth', 'agree', 'bear', 'child', 'anonymous', 'english', 'landowner', 'return', 'pay', 'father', 'debt', 'birth', 'agree', 'give', 'child', 'years', 'later', 'hire', 'govern']"
Helen of Troy,0,0,1,0,1,1,0,0,0,"['iliads', 'story', 'trojan', 'war', 'tell', 'trojan', 'viewpoint']"
2 Days in the Valley,1,1,0,0,0,0,0,0,1,"['hours', 'intersect', 'live', 'crimes', 'los', 'angeles']"
Perfect Sense,0,0,1,1,0,0,0,1,0,"['chef', 'scientist', 'fall', 'love', 'epidemic', 'begin', 'rob', 'people', 'sensory', 'perceptions']"
The Day of the Triffids,0,0,0,0,0,0,0,1,1,"['unusual', 'meteor', 'shower', 'leave', 'human', 'population', 'blind', 'merchant', 'navy', 'officer', 'must', 'way', 'conquer', 'tall', 'aggressive', 'plant', 'feed', 'people', 'animals']"
¡Vampiros en La Habana!,1,0,0,0,0,0,1,0,1,"['vampire', 'family', 'cuba', 'prepare', 'showdown', 'usa', 'vampires', 'eastern', 'european', 'vampires', 'aid', 'scientist', 'need', 'type', 'vaccination', 'live', 'daylight']"
The Hot Spot,0,1,1,1,0,0,0,0,0,"['upon', 'arrive', 'small', 'town', 'drifter', 'quickly', 'get', 'trouble', 'local', 'authorities', 'local', 'women', 'rob', 'bank']"
Kadhal Desam,1,0,1,1,0,0,0,0,0,"['boys', 'rival', 'colleges', 'rich', 'poor', 'become', 'good', 'friends', 'incident', 'new', 'girl', 'college', 'make', 'hearts', 'melt', 'neither', 'realise', 'love', 'girl']"
Soul Food,1,0,1,0,0,0,0,0,0,"['person', 'keep', 'family', 'together', 'person', 'go', 'family', 'tear', 'apart']"
Snow Cake,0,0,1,1,0,0,0,0,0,"['drama', 'focus', 'friendship', 'high', 'function', 'autistic', 'woman', 'man', 'traumatize', 'fatal', 'car', 'accident']"
"Honey, I Shrunk the Kids",1,0,0,0,1,0,1,0,0,"['scientist', 'father', 'teenage', 'girl', 'boy', 'accidentally', 'shrink', 'neighborhood', 'teens', 'size', 'insects', 'teens', 'must', 'fight', 'diminutive', 'dangers', 'father', 'search']"
The Graduate,1,0,1,1,0,0,0,0,0,"['disillusion', 'college', 'graduate', 'tear', 'older', 'lover', 'daughter']"
Fargo,0,1,0,0,0,0,0,0,1,"['minnesota', 'car', 'salesman', 'jerry', 'lundegaards', 'inept', 'crime', 'fall', 'apart', 'due', 'henchmens', 'bungle', 'persistent', 'police', 'work', 'quite', 'pregnant', 'marge', 'gunderson']"
Shrek Forever After,1,0,0,0,1,0,1,0,0,"['rumpelstiltskin', 'trick', 'mid', 'life', 'crisis', 'burden', 'shrek', 'allow', 'erase', 'existence', 'cast', 'dark', 'alternate', 'timeline', 'rumpelstiltskin', 'rule', 'supreme']"
Qing shao nian nuo zha,0,1,1,1,0,0,0,0,0,"['urban', 'gloom', 'taipei', 'youths', 'face', 'alienation', 'loneliness', 'moments', 'existential', 'crisis', 'amidst', 'series', 'minor', 'crimes']"
Willy Wonka & the Chocolate Factory,0,0,0,0,0,0,1,1,0,"['poor', 'hopeful', 'boy', 'seek', 'covet', 'golden', 'ticket', 'send', 'tour', 'willy', 'wonkas', 'mysterious', 'chocolate', 'factory']"
The Thing That Couldn't Die,0,0,0,0,0,0,0,0,1,"['psychically', 'gift', 'young', 'woman', 'discover', 'centuries', 'old', 'crate', 'bury', 'aunts', 'ranch', 'open', 'family', 'discover', 'live', 'head', 'gideon', 'draw', 'th', 'century', 'devil', 'worshiper', 'behead', 'sir', 'francis', 'drake']"
Prisoner of Rio,0,0,1,0,0,1,0,0,1,"['story', 'great', 'train', 'robber', 'ronald', 'biggs']"
Jetsons: The Movie,1,0,0,0,0,0,1,0,0,"['george', 'jetson', 'force', 'uproot', 'family', 'mr', 'spacely', 'promote', 'take', 'charge', 'new', 'factory', 'distant', 'planet']"
Welcome Home,0,1,1,0,0,0,0,0,1,"['census', 'report', 'lead', 'female', 'government', 'teachers', 'isolate', 'house', 'reside', 'family', 'twist', 'secrets', 'never', 'imagine', 'recover']"
Ron's Gone Wrong,1,0,0,0,1,0,1,0,0,"['story', 'barney', 'awkward', 'middle', 'schooler', 'ron', 'new', 'walk', 'talk', 'digitally', 'connect', 'device', 'rons', 'malfunction', 'set', 'backdrop', 'social', 'media', 'age', 'launch', 'journey', 'learn', 'true', 'friendship']"
Goodbye,1,0,1,0,0,0,1,0,0,"['heartwarming', 'story', 'bhalla', 'family', 'depict', 'journey', 'grief', 'self', 'discovery', 'suffer', 'loss', 'love']"
Harley Davidson and the Marlboro Man,0,1,1,0,1,0,0,0,0,"['force', 'imminent', 'foreclosure', 'friends', 'bar', 'lifelong', 'buddies', 'decide', 'rob', 'bank', 'armor', 'car', 'know', 'cargo', 'money', 'new', 'street', 'drug']"
The Treasure of Swamp Castle,1,0,0,0,1,0,1,0,0,"['turmoilous', 'th', 'century', 'young', 'poor', 'hungarian', 'aristocrat', 'jonas', 'help', 'szaffi', 'young', 'pretty', 'gypsy', 'romani', 'girl', 'illegitimate', 'daughter', 'turkish', 'pasha', 'get', 'treasure', 'thats', 'owe', 'right', 'inheritance']"
The Karate Kid Part II,0,0,0,0,1,0,1,0,0,"['daniel', 'accompany', 'mentor', 'mr', 'miyagi', 'miyagis', 'childhood', 'home', 'okinawa', 'miyagi', 'visit', 'die', 'father', 'confront', 'old', 'rival', 'daniel', 'fall', 'love', 'inadvertently', 'make', 'new', 'rival']"
Dark Victory,0,0,1,1,0,0,0,0,0,"['young', 'socialite', 'diagnose', 'inoperable', 'brain', 'tumor', 'must', 'decide', 'whether', 'shell', 'meet', 'final', 'days', 'dignity']"
Fallen,0,0,1,1,0,0,0,1,0,"['young', 'girl', 'reform', 'school', 'therapy', 'since', 'blame', 'death', 'young', 'boy', 'school', 'draw', 'fellow', 'student', 'unaware', 'angel', 'love', 'thousands']"
The Wicker Tree,0,0,1,0,0,0,0,0,1,"['charm', 'residents', 'tressock', 'scotland', 'young', 'missionaries', 'accept', 'invitation', 'participate', 'local', 'festival', 'fully', 'unaware', 'consequences', 'decision']"
Santa Claus Conquers the Martians,1,0,0,0,1,0,1,0,0,"['martians', 'kidnap', 'santa', 'claus', 'nobody', 'mar', 'give', 'children', 'present']"
Stuart Little 2,1,0,0,0,1,0,1,0,0,"['stuart', 'snowbell', 'set', 'town', 'rescue', 'friend']"
Trapped in Paradise,1,1,0,0,1,0,0,0,0,"['residents', 'friendly', 'pennsylvania', 'town', 'foil', 'brothers', 'plan', 'rob', 'bank', 'christmas', 'eve']"
Fences,0,0,1,0,0,0,0,0,0,"['work', 'class', 'african', 'american', 'father', 'try', 'raise', 'family', 'come', 'term', 'events', 'life']"
Inkheart,0,0,0,0,1,0,1,1,0,"['teenage', 'girl', 'discover', 'father', 'amaze', 'talent', 'bring', 'character', 'book', 'must', 'try', 'stop', 'free', 'villain', 'destroy', 'help', 'father', 'aunt', 'storybooks', 'hero']"
Angels in the Outfield,1,0,0,0,0,0,1,1,0,"['pittsburgh', 'pirate', 'brash', 'abusive', 'manager', 'receive', 'help', 'angel', 'win', 'game', 'become', 'better', 'person', 'process']"
The Funhouse Massacre,1,0,0,0,0,0,0,0,1,"['worlds', 'scariest', 'psychopaths', 'escape', 'local', 'asylum', 'proceed', 'unleash', 'terror', 'unsuspecting', 'crowd', 'halloween', 'funhouse', 'whose', 'theme', 'mazes', 'inspire', 'various', 'reign', 'terror']"
Dead Man Down,0,1,1,0,1,0,0,0,0,"['new', 'york', 'city', 'crime', 'lord', 'right', 'hand', 'man', 'help', 'woman', 'seek', 'retribution']"
